"country","cocoaProduction","pop2022"
"Ivory Coast","2034000","28160542"
"Ghana","883652","33475870.0000"
"Indonesia","659776","275501339"
"Nigeria","328263","218541212"
"Cameroon","295028","27914536"
"Brazil","235809","215313498"
"Ecuador","205955","18001000"
"Peru","121825","34049588"
"Dominican Republic","86599","11228821"
"Colombia","56808","51874024"
"Papua New Guinea","44504","10142619"
"Uganda","31312","47249585"
"Mexico","27287","127504125"
"Venezuela","23349","28301696"
"Togo","22522","8848699"
"India","19000","1417173173"
"Sierra Leone","14670","8605718"
"Haiti","14173","11584996"
"Guatemala","11803","17843908"
"Madagascar","11010","29611714"
"Guinea","10638","13859341"
"Liberia","8552","5302681"
"Tanzania","8548","65497748"
"Philippines","7009","115559009"
"Nicaragua","6600","6948392"
"Bolivia","5518","12224110"
"Solomon Islands","4940","724273"
"Republic of the Congo","4000","5970424"
"DR Congo","3758","99010212"
"Sao Tome and Principe","2778","227380"
"Vanuatu","1813","326740"
"Sri Lanka","1291","21832143"
"Malaysia","1029","33938221"
"Grenada","800","125438"
"Honduras","751","10432860"
"Panama","662","4408581"
"Costa Rica","545","5180829"
"Samoa","479","222382"
"Angola","442","35588987"
"Guyana","429","808726"
"Equatorial Guinea","413","1674908"
"El Salvador","357","6336392"
"Trinidad and Tobago","320","1531044"
"Dominica","312","72737"
"Jamaica","305","2827377"
"Belize","244","405272"
"Cuba","231","11212191"
"Saint Vincent and the Grenadines","222","103948"
"Gabon","187","2388992"
"Timor-Leste","176","1341296"
"Central African Republic","149","5579144"
"Thailand","125","71697030"
"Saint Lucia","51","179857"
"Comoros","40","836774"
"Micronesia","33","114164"
"Fiji","12","929766"
"Suriname","5","618040"
"American Samoa","1","44273"